AnimalID	GroupID	Location	TrappingPeriod	DateofCapture	CaptureStart	CaptureEnd	GroupSize	Sex	weight	Rainfall	firstcapturedate	censor	Time.days	Time.years	statecode	state	id	SessRef	SexRatiomf	ScaledWeight	Scale_sexratio	Rainfall.s
KR10M026	Kuruman 10	KRR	10	0007-10-20	2018-10-02	0010-10-20	16	Male	109	11.76823613	2018-03-17	NA	204	0.558521561	ingroupnonbreeder	1	172	399	0.8125	0.5924830909905766	0.3125	-0.8641746208105754
KR10M026	Kuruman 10	KRR	11	0013-03-20	2019-03-12	0017-03-20	20	Male	111	69.35182863	2018-03-17	NA	361	0.988364134	ingroupnonbreeder	1	172	428	0.8	0.6433134605762411	0.30000000000000004	0.09447713744616895
KR10M026	Kuruman 10	KRR	12	0009-09-20	2019-09-09	0010-09-20	19	Male	101	0.397720048	2018-03-17	NA	541	1.481177276	ingroupnonbreeder	1	172	454	0.8421052631578947	0.3891616126479185	0.3421052631578947	-1.0534709943269704
KR10M026	Kuruman 10	KRR	13	0012-03-20	2020-03-08	0012-03-20	16	Male	113	165.6746387	2018-03-17	NA	726	1.987679671	ingroupnonbreeder	1	172	503	0.8125	0.6941438301619056	0.3125	1.6980594640235869
KR10M026	Kuruman 10	KRR	NA	0027-05-20	2020-05-27	NA	NA	Male	NA	64.81177172	2018-03-17	99	802	2.195756331	ingroupnonbreeder	99	172	NA	NA	NA	NA	0.018894261310797827
KR10M027	Kuruman 10	KRR	9	0019-03-20	2018-03-17	0020-03-20	17	Male	59	121.7158381	2018-03-17	NA	0	0	ingroupnonbreeder	1	173	358	0.8823529411764706	-0.6782761486510366	0.38235294117647056	0.9662332674199685
KR10M027	Kuruman 10	KRR	10	0004-10-20	2018-10-02	0010-10-20	16	Male	105	11.76823613	2018-03-17	NA	201	0.550308008	ingroupnonbreeder	1	173	399	0.8125	0.49082235181924755	0.3125	-0.8641746208105754
KR10M027	Kuruman 10	KRR	11	0013-03-20	2019-03-12	0017-03-20	20	Male	116	69.35182863	2018-03-17	NA	361	0.988364134	ingroupnonbreeder	1	173	428	0.8	0.7703893845404024	0.30000000000000004	0.09447713744616895
KR10M027	Kuruman 10	KRR	12	0010-09-20	2019-09-09	0010-09-20	19	Male	113	0.397720048	2018-03-17	NA	542	1.483915127	ingroupnonbreeder	1	173	454	0.8421052631578947	0.6941438301619056	0.3421052631578947	-1.0534709943269704
KR10M027	Kuruman 10	KRR	13	0009-03-20	2020-03-08	0012-03-20	16	Male	126	165.6746387	2018-03-17	NA	723	1.979466119	ingroupnonbreeder	1	173	503	0.8125	1.024541232468725	0.3125	1.6980594640235869
KR10M027	Kuruman 10	KRR	NA	0027-05-20	2020-05-27	NA	NA	Male	NA	64.81177172	2018-03-17	99	802	2.195756331	ingroupnonbreeder	99	173	NA	NA	NA	NA	0.018894261310797827
