AnimalID,SessRef,Sex,GroupID,GroupSize,SexRatiomf,CaptureStart,SessRef2,DateofCapture,DateofCapture2,weight,weight1,rate,timediff,TeethWidth,massindex
KR11M017,461,Male,Kuruman 11,20,0.5,2019-09-23,515,2019-09-23,2020-03-31,87,82,-0.0263157894736842,190,5.305,77.94087060751765
KR11M020,426,Male,Kuruman 11,22,0.4545454545454546,2019-03-12,444,2019-03-13,2019-04-06,79,82,0.0153061224489796,24,5.215,73.10968820225179
KR11M023,426,Male,Kuruman 11,22,0.4545454545454546,2019-03-12,444,2019-03-14,2019-04-05,50,66,0.0829015544041451,22,3.655,90.83592752398825
KR11M023,461,Male,Kuruman 11,20,0.5,2019-09-23,515,2019-09-23,2020-03-31,66,65,-0.00526315789473684,190,4.67,75.3116082693359
KR11M024,426,Male,Kuruman 11,22,0.4545454545454546,2019-03-12,461,2019-03-14,2019-09-27,46,64,0.0913705583756345,197,3.585,86.69272634817142
KR13F002,139,Female,Kuruman 13,26,0.5384615384615384,2014-01-22,140,2014-01-22,2014-08-06,99,103,0.0204081632653061,196,5.525,82.10941317738529
KR13F002,140,Female,Kuruman 13,21,0.5238095238095238,2014-08-05,81,2014-08-06,2015-02-10,103,113,0.0531914893617021,188,5.665,81.46510779027253
KR13F006,139,Female,Kuruman 13,26,0.5384615384615384,2014-01-22,140,2014-01-23,2014-08-06,108,105,-0.0153846153846154,195,6.074999999999999,74.81183714207252
KR13F006,140,Female,Kuruman 13,21,0.5238095238095238,2014-08-05,156,2014-08-06,2015-09-20,105,138,0.0804878048780488,410,6.12,71.72218594429482
KR13F016,139,Female,Kuruman 13,26,0.5384615384615384,2014-01-22,140,2014-01-24,2014-08-06,95,118,0.118556701030928,194,5.135,90.53411202496588
KR13F019,139,Female,Kuruman 13,26,0.5384615384615384,2014-01-22,140,2014-01-25,2014-08-06,78,117,0.202072538860104,193,4.54,93.90314924574731
KR13F019,140,Female,Kuruman 13,21,0.5238095238095238,2014-08-05,81,2014-08-06,2015-02-10,117,129,0.0638297872340425,188,5.72,90.8567859870746
KR13F019,81,Female,Kuruman 13,23,0.5652173913043478,2015-02-10,156,2015-02-10,2015-09-22,129,147,0.0803571428571429,224,6.09,88.9413739949342
KR13F020,139,Female,Kuruman 13,26,0.5384615384615384,2014-01-22,140,2014-01-25,2014-08-06,31,102,0.367875647668394,193,2.81,92.75322783441726
KR13F020,140,Female,Kuruman 13,21,0.5238095238095238,2014-08-05,81,2014-08-06,2015-02-10,102,108,0.0319148936170213,188,4.925000000000001,105.22085754813044
KR13F021,139,Female,Kuruman 13,26,0.5384615384615384,2014-01-22,140,2014-01-26,2014-08-06,74,90,0.0833333333333333,192,4.905,76.92845631230766
KR13F025,139,Female,Kuruman 13,26,0.5384615384615384,2014-01-22,140,2014-01-27,2014-08-05,30,76,0.242105263157895,190,2.965,81.06579707226564
KR13F025,140,Female,Kuruman 13,21,0.5238095238095238,2014-08-05,81,2014-08-05,2015-02-11,76,88,0.0631578947368421,190,4.97,77.05824428001654
KR13F025,81,Female,Kuruman 13,23,0.5652173913043478,2015-02-10,156,2015-02-11,2015-09-20,88,112,0.108597285067873,221,5.48,74.1276921035173
KR13F025,156,Female,Kuruman 13,22,0.3636363636363637,2015-09-20,216,2015-09-20,2016-04-12,112,111,-0.0048780487804878,205,5.74,86.3998322157764
KR13F027,140,Female,Kuruman 13,21,0.5238095238095238,2014-08-05,81,2014-08-08,2015-02-10,35,82,0.252688172043011,186,2.875,100.2740298264571
KR13F028,140,Female,Kuruman 13,21,0.5238095238095238,2014-08-05,81,2014-08-08,2015-02-10,33,81,0.258064516129032,186,3.125,80.70771792164399
KR13F028,81,Female,Kuruman 13,23,0.5652173913043478,2015-02-10,156,2015-02-10,2015-09-23,81,100,0.0844444444444444,225,5.1850000000000005,75.78575958938632
KR13F034,81,Female,Kuruman 13,23,0.5652173913043478,2015-02-10,156,2015-02-12,2015-09-22,28,82,0.243243243243243,222,2.88,79.95514020423052
KR13F034,156,Female,Kuruman 13,22,0.3636363636363637,2015-09-20,216,2015-09-22,2016-04-13,82,108,0.127450980392157,204,4.699999999999999,92.43882570786288
KR13F035,81,Female,Kuruman 13,23,0.5652173913043478,2015-02-10,156,2015-02-12,2015-09-24,22,77,0.245535714285714,224,2.8200000000000003,65.38261594992092
KR13F035,156,Female,Kuruman 13,22,0.3636363636363637,2015-09-20,216,2015-09-24,2016-04-14,77,91,0.0689655172413793,203,4.97,78.07216854685886
KR13F037,81,Female,Kuruman 13,23,0.5652173913043478,2015-02-10,156,2015-02-13,2015-09-22,19,65,0.208144796380091,221,2.84,55.7145693271197
KR13F037,156,Female,Kuruman 13,22,0.3636363636363637,2015-09-20,216,2015-09-22,2016-04-13,65,84,0.0931372549019608,204,4.484999999999999,80.08369955396407
KR13F038,156,Female,Kuruman 13,22,0.3636363636363637,2015-09-20,216,2015-09-21,2016-04-14,32,79,0.228155339805825,206,2.77,98.38601009225025
KR13F038,216,Female,Kuruman 13,24,0.5416666666666666,2016-04-12,227,2016-04-14,2016-06-10,79,156,0.157786885245902,57,4.75,87.28635731992854
KR13F039,156,Female,Kuruman 13,22,0.3636363636363637,2015-09-20,216,2015-09-21,2016-04-13,76,92,0.0780487804878049,205,4.915,78.70283345232725
KR13F040,156,Female,Kuruman 13,22,0.3636363636363637,2015-09-20,216,2015-09-21,2016-04-12,74,98,0.117647058823529,204,4.365,95.987306021517
KR13F042,156,Female,Kuruman 13,22,0.3636363636363637,2015-09-20,216,2015-09-22,2016-04-13,67,83,0.0784313725490196,204,4.244999999999999,91.62865481735048
KR13F043,156,Female,Kuruman 13,22,0.3636363636363637,2015-09-20,216,2015-09-22,2016-04-12,59,79,0.0985221674876847,203,4.115,85.59377359153204
KR13M005,139,Male,Kuruman 13,26,0.5384615384615384,2014-01-22,140,2014-01-23,2014-08-05,105,139,0.175257731958763,194,5.63,84.02942016238197
KR13M005,140,Male,Kuruman 13,21,0.5238095238095238,2014-08-05,81,2014-08-05,2015-02-10,139,164,0.132275132275132,189,6.51,84.44325254761398
KR13M008,139,Male,Kuruman 13,26,0.5384615384615384,2014-01-22,140,2014-01-23,2014-08-05,113,136,0.118556701030928,194,5.635,90.2794501106208
KR13M008,140,Male,Kuruman 13,21,0.5238095238095238,2014-08-05,81,2014-08-05,2015-02-11,136,155,0.1,190,6.625,79.92034825800714
KR13M012,139,Male,Kuruman 13,26,0.5384615384615384,2014-01-22,140,2014-01-24,2014-08-06,104,130,0.134020618556701,194,5.17,97.84161867557306
KR13M012,140,Male,Kuruman 13,21,0.5238095238095238,2014-08-05,81,2014-08-06,2015-02-11,130,140,0.0529100529100529,189,5.965,93.22870040054288
KR13M015,139,Male,Kuruman 13,26,0.5384615384615384,2014-01-22,140,2014-01-24,2014-08-06,89,106,0.0876288659793814,194,5.18,83.42336955841756
KR13M015,140,Male,Kuruman 13,21,0.5238095238095238,2014-08-05,81,2014-08-06,2015-02-10,106,126,0.106382978723404,188,6.04,74.23596756695
KR13M022,139,Male,Kuruman 13,26,0.5384615384615384,2014-01-22,140,2014-01-26,2014-08-05,100,121,0.109947643979058,191,5.38,87.232039838349
KR13M022,140,Male,Kuruman 13,21,0.5238095238095238,2014-08-05,81,2014-08-05,2015-02-10,121,148,0.142857142857143,189,6.38,76.37651387416257
KR13M024,139,Male,Kuruman 13,26,0.5384615384615384,2014-01-22,140,2014-01-27,2014-08-06,33,99,0.345549738219895,191,3,87.208473082285
KR13M024,140,Male,Kuruman 13,21,0.5238095238095238,2014-08-05,81,2014-08-06,2015-02-10,99,128,0.154255319148936,188,5.24,90.79074759615924
KR13M026,139,Male,Kuruman 13,26,0.5384615384615384,2014-01-22,140,2014-01-28,2014-08-07,35,97,0.324607329842932,191,2.8049999999999997,105.07590888828447
KR13M026,140,Male,Kuruman 13,21,0.5238095238095238,2014-08-05,81,2014-08-07,2015-02-10,97,123,0.13903743315508,187,5.05,95.41503772383416
KR13M029,140,Male,Kuruman 13,21,0.5238095238095238,2014-08-05,156,2014-08-08,2015-09-22,28,147,0.290243902439024,410,2.8,84.3458139494885
KR13M029,156,Male,Kuruman 13,22,0.3636363636363637,2015-09-20,216,2015-09-22,2016-04-12,147,178,0.152709359605911,203,6.24,96.77831528150068
KR13M030,140,Male,Kuruman 13,21,0.5238095238095238,2014-08-05,81,2014-08-08,2015-02-10,39,86,0.252688172043011,186,3.345,83.8294357586865
KR13M030,81,Male,Kuruman 13,23,0.5652173913043478,2015-02-10,156,2015-02-10,2015-09-20,86,137,0.22972972972973,222,5.355,75.68557549828381
KR13M030,156,Male,Kuruman 13,22,0.3636363636363637,2015-09-20,216,2015-09-20,2016-04-12,137,157,0.0975609756097561,205,6.305,88.43837546453017
KR13M031,140,Male,Kuruman 13,21,0.5238095238095238,2014-08-05,81,2014-08-08,2015-02-11,35,84,0.262032085561497,187,3.0250000000000004,91.04860465115308
KR13M031,81,Male,Kuruman 13,23,0.5652173913043478,2015-02-10,156,2015-02-11,2015-09-20,84,140,0.253393665158371,221,5.234999999999999,77.17425855330248
KR13M032,81,Male,Kuruman 13,23,0.5652173913043478,2015-02-10,156,2015-02-12,2015-09-23,29,96,0.300448430493274,223,2.77,89.16232164610179
KR13M032,156,Male,Kuruman 13,22,0.3636363636363637,2015-09-20,216,2015-09-23,2016-04-12,96,130,0.168316831683168,202,5.015000000000001,95.68594938303713
KR13M033,81,Male,Kuruman 13,23,0.5652173913043478,2015-02-10,156,2015-02-11,2015-09-22,23,81,0.260089686098655,223,2.865,66.33150948430718
